date,cause,number
1/2/2022,Other,1
6/2/2022,Sniper Fire,1
13/2/2022,Sniper Fire,1
15/2/2022,Small Arms and Light Weapons ,1
19/2/2022,Shelling,2
19/2/2022,Other,1
20/2/2022,Shelling,1
21/2/2022,Shelling,1
21/2/2022,Other,1
22/2/2022,Sniper Fire,1
22/2/2022,Shelling,1
23/2/2022,Shelling,1
24/2/2022,Shelling,1
25/2/2022,Shelling,1
27/2/2022,Other,1
27/2/2022,Other,1
