date,group,location,number
3/4/2021,Ukrainian Military Killed,Toretsk,1
3/4/2021,Ukrainian Military Killed,Unknown,1
4/4/2021,Ukrainian Military Killed,Unknown,1
4/4/2021,Civilian Killed,Ocheretyne,1
5/4/2021,Ukrainian Military Killed,Unknown,1
5/4/2021,Ukrainian Military Killed,Unknown,1
6/4/2021,Ukrainian Military Killed,Vuhledar,1
6/4/2021,Ukrainian Military Killed,Ocheretyne,1
6/4/2021,Civilian Killed,Zymohirya,1
8/4/2021,Ukrainian Military Killed,Sartana,1
8/4/2021,Armed Groups Killed,Unknown,1
9/4/2021,Ukrainian Military Killed,Myrne,1
10/4/2021,Ukrainian Military Killed,Hirske,1
12/4/2021,Ukrainian Military Killed,Toretsk,1
13/4/2021,Ukrainian Military Killed,Horlivka,1
14/4/2021,Armed Groups Killed,Hirske,1
14/4/2021,Civilian Killed,Donetsk,1
18/4/2021,Ukrainian Military Killed,Sartana,1
20/4/2021,Armed Groups Killed,Horlivka,1
20/4/2021,Armed Groups Killed,Horlivka,1
22/4/2021,Ukrainian Military Killed,Toretsk,1
26/4/2021,Ukrainian Military Killed,Avdiivka,1
27/4/2021,Ukrainian Military Killed,Hirske,1
28/4/2021,Ukrainian Military Killed,Svitlodarsk,1
3/5/2021,Armed Groups Killed,Sartana,1
5/5/2021,Armed Groups Killed,Kadiivka,1
6/5/2021,Ukrainian Military Killed,Ocheretyne,1
6/5/2021,Ukrainian Military Killed,Olhynka,1
6/5/2021,Armed Groups Killed,Dokuchayivsk,1
6/5/2021,Armed Groups Killed,Dokuchayivsk,1
6/5/2021,Armed Groups Killed,Dokuchayivsk,1
6/5/2021,Armed Groups Killed,Debaltseve,1
8/5/2021,Civilian Killed,Donetsk,1
11/5/2021,Armed Groups Killed,Horlivka,1
14/5/2021,Armed Groups Killed,Ocheretyne,
17/5/2021,Armed Groups Killed,Horlivka,1
18/5/2021,Armed Groups Killed,Donetsk,1
20/5/2021,Armed Groups Killed,Kadiivka,1
24/5/2021,Civilian Killed,Donetsk,1
27/5/2021,Ukrainian Military Killed,Hirske,1
11/6/2021,Ukrainian Military Killed,Ocheretyne,1
11/6/2021,Armed Groups Killed,Kadiivka,1
11/6/2021,Armed Groups Killed,Kadiivka,1
11/6/2021,Armed Groups Killed,Kadiivka,1
11/6/2021,Armed Groups Killed,Kadiivka,1
11/6/2021,Armed Groups Killed,Kadiivka,1
21/6/2021,Armed Groups Killed,Ocheretyne,1
21/6/2021,Armed Groups Killed,Ocheretyne,1
21/6/2021,Armed Groups Killed,Ocheretyne,1
21/6/2021,Armed Groups Killed,Ocheretyne,1
21/6/2021,Armed Groups Killed,Ocheretyne,1
24/6/2021,Armed Groups Killed,Donetsk,1
26/6/2021,Ukrainian Military Killed,Ocheretyne,1
1/7/2021,Armed Groups Killed,Hirske,1
1/7/2021,Armed Groups Killed,Unknown,1
4/7/2021,Ukrainian Military Killed,Myrne,1
5/7/2021,Ukrainian Military Killed,Sartana,1
5/7/2021,Armed Groups Killed,Unknown,1
8/7/2021,Ukrainian Military Killed,Ocheretyne,1
9/7/2021,Ukrainian Military Killed,Hirske,1
13/7/2021,Ukrainian Military Killed,Hirske,1
13/7/2021,Ukrainian Military Killed,Hirske,1
13/7/2021,Ukrainian Military Killed,Hirske,1
15/7/2021,Ukrainian Military Killed,Hirske,1
28/7/2021,Armed Groups Killed,Boykivske,1
28/7/2021,Armed Groups Killed,Boykivske,1
28/7/2021,Armed Groups Killed,Boykivske,1
30/7/2021,Armed Groups Killed,Starobesheve,1
30/7/2021,Armed Groups Killed,Starobesheve,1
30/7/2021,Armed Groups Killed,Starobesheve,1
30/7/2021,Armed Groups Killed,Starobesheve,1
30/7/2021,Armed Groups Killed,Unknown,1
1/8/2021,Armed Groups Killed,Horlivka,1
2/8/2021,Civilian Killed,Sartana,1
7/8/2021,Ukrainian Military Killed,Ocheretyne,1
10/8/2021,Ukrainian Military Killed,Svitlodarsk,1
11/8/2021,Civilian Killed,Myrne,1
16/8/2021,Ukrainian Military Killed,Mariinka,1
17/8/2021,Civilian Killed,Luhansk,1
17/8/2021,Armed Groups Killed,Unknown,1
18/8/2021,Ukrainian Military Killed,Popasna,1
19/8/2021,Ukrainian Military Killed,Popasna,1
22/8/2021,Ukrainian Military Killed,Mariinka,1
23/8/2021,Ukrainian Military Killed,Mariinka,1
24/8/2021,Ukrainian Military Killed,Unknown,1
27/8/2021,Ukrainian Military Killed,Mariinka,1
28/8/2021,Armed Groups Killed,Hirske,1
29/8/2021,Armed Groups Killed,Unknown,1
30/8/2021,Ukrainian Military Killed,Popasna,1
3/9/2021,Armed Groups Killed,Unknown,1
4/9/2021,Armed Groups Killed,Unknown,1
11/9/2021,Ukrainian Military Killed,Mariinka,1
